"hhid","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2018_tot","h2018_wetQ","h2018_wetQstart","qstartavg","ndvi_avg","ndvi_max","h2018_ndvi_avg","h2018_ndvi_max","lat_dd_mod","lon_dd_mod"
110006,0.1,26.3,1.6,80.4,26.3,277,262,1918,291,822,3854,42,313,4,62,14,2,2,1,1,1,1,1,1553,759,17,1649,765,13,24,0.283,0.357,0.27,0.319,6.32314678579,8.11608584385
110007,0.1,26.3,1.6,80.4,26.3,277,262,1918,291,822,3854,42,313,4,62,14,2,2,1,1,1,1,1,1553,759,17,1649,765,13,24,0.283,0.357,0.27,0.319,6.32314678579,8.11608584385
110008,0.1,26.3,1.6,80.4,26.3,277,262,1918,291,822,3854,42,313,4,62,14,2,2,1,1,1,1,1,1553,759,17,1649,765,13,24,0.283,0.357,0.27,0.319,6.32314678579,8.11608584385
110009,0.1,26.3,1.6,80.4,26.3,277,262,1918,291,822,3854,42,313,4,62,14,2,2,1,1,1,1,1,1553,759,17,1649,765,13,24,0.283,0.357,0.27,0.319,6.32314678579,8.11608584385
110010,0.1,26.3,1.6,80.4,26.3,277,262,1918,291,822,3854,42,313,4,62,14,2,2,1,1,1,1,1,1553,759,17,1649,765,13,24,0.283,0.357,0.27,0.319,6.32314678579,8.11608584385
110021,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110022,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110023,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110024,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110025,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110026,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110027,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110028,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
110029,20.6,42.4,7.3,55.9,42.4,273,257,1850,290,799,695,45,313,3,101,12,2,2,1,1,1,1,1,1469,726,17,1641,778,13,24,0.246,0.31,0.241,0.322,6.37484011777,7.95872670003
